id_product,name,category,price,custo
81,Cadeira Gamer ThunderX3,Cadeiras,1180.28,1032.58
82,Mousepad Havit,Periféricos,57.04,39.43
83,JBL Tune 520BT,Áudio,272.31,165.08
84,Cadeira Office Flexform,Cadeiras,1528.5,1114.35
85,Teclado Logitech K120,Periféricos,92.63,72.57
86,Hub USB-C 6 em 1,Acessórios,172.84,119.27
87,Cadeira Office Flexform,Cadeiras,1669.51,1339.58
88,Monitor AOC 24G2,Monitores,1104.4,829.75
89,Sony WH-CH520,Áudio,294.17,248.01
90,Controle DualSense PS5,Games,429.39,304.73
91,Controle DualSense PS5,Games,466.0,295.76
92,Mousepad Havit,Periféricos,60.76,45.17
93,Samsung Galaxy S24,Smartphones,3657.96,3363.57
94,Cadeira Gamer Husky,Cadeiras,1566.1,1003.38
95,JBL Go 3,Áudio,301.0,231.92
96,Carregador Apple 20W,Acessórios,172.78,148.84
97,Sony WH-CH520,Áudio,287.76,197.21
98,Cadeira Office Flexform,Cadeiras,1465.43,1215.88
99,Cadeira Gamer Husky,Cadeiras,1555.2,1120.75
100,JBL Go 3,Áudio,296.7,199.91
101,Nintendo Switch OLED,Games,2413.56,1634.31
102,Suporte para Notebook,Acessórios,135.36,96.75
103,Edifier W820NB,Áudio,420.77,282.19
104,Headset HyperX Cloud Stinger,Periféricos,285.53,199.1
105,Xiaomi Redmi Note 13,Smartphones,1323.26,1107.07
106,Xiaomi Redmi Note 13,Smartphones,1395.31,1126.4
107,Controle DualSense PS5,Games,428.98,355.19
108,Cadeira Office Flexform,Cadeiras,1552.76,1291.51
109,Mousepad Havit,Periféricos,57.53,49.5
110,Headset HyperX Cloud Stinger,Periféricos,321.29,204.83
111,Monitor LG UltraGear 27,Monitores,1623.54,1301.66
112,Headset HyperX Cloud Stinger,Periféricos,306.21,254.1
113,Cadeira Gamer Fortrek,Cadeiras,929.83,719.76
114,Nintendo Switch OLED,Games,2108.54,1696.31
115,Webcam Logitech C920,Acessórios,453.19,395.32
116,Cadeira Gamer Husky,Cadeiras,1639.36,1116.7
117,Apple iPhone 13,Smartphones,3690.89,2760.72
118,Cadeira Office Flexform,Cadeiras,1737.14,1307.43
119,Cadeira Gamer Fortrek,Cadeiras,861.91,640.15
120,Mousepad Havit,Periféricos,60.12,40.6
121,Carregador Samsung 25W,Acessórios,96.93,78.37
122,Monitor LG 24MK430H,Monitores,811.06,561.2
123,Webcam Logitech C920,Acessórios,547.84,381.24
124,JBL Go 3,Áudio,304.27,251.5
125,Monitor LG UltraGear 27,Monitores,1596.85,1277.85
126,JBL Go 3,Áudio,271.88,218.97
127,JBL Go 3,Áudio,277.04,210.02
128,Carregador Samsung 25W,Acessórios,102.91,78.67
129,Motorola Moto G54,Smartphones,1232.65,903.07
130,Cadeira Gamer Husky,Cadeiras,1520.55,1247.41
131,PlayStation 5 Slim,Games,3347.22,2619.34
132,Mouse Logitech G203,Periféricos,177.23,118.35
133,Nintendo Switch OLED,Games,2025.05,1819.64
134,Cadeira Office Flexform,Cadeiras,1654.02,1271.0
135,Cadeira Office Flexform,Cadeiras,1689.43,1051.29
136,JBL Go 3,Áudio,306.2,228.48
137,Cadeira Gamer Husky,Cadeiras,1564.3,976.59
138,Monitor LG UltraGear 27,Monitores,1514.84,1197.43
139,Cadeira Gamer Fortrek,Cadeiras,930.37,684.96
140,Samsung Galaxy A35,Smartphones,1715.8,1148.89
141,JBL Flip 6,Áudio,756.4,464.47
142,Carregador Samsung 25W,Acessórios,105.07,82.1
143,Nintendo Switch OLED,Games,2131.98,1741.05
144,Mouse Logitech M170,Periféricos,73.26,51.97
145,Samsung Galaxy A35,Smartphones,1613.32,1182.02
146,Cadeira Gamer Fortrek,Cadeiras,817.51,754.09
147,Motorola Edge 50,Smartphones,2552.45,2012.91
148,Motorola Edge 50,Smartphones,2322.79,1744.92
149,Monitor Samsung Odyssey G5,Monitores,2748.07,1821.61
150,Monitor LG UltraGear 27,Monitores,1642.15,1102.21
151,Samsung Galaxy A35,Smartphones,1642.62,1412.39
152,Webcam Logitech C920,Acessórios,455.47,403.26
153,Carregador Apple 20W,Acessórios,175.85,153.41
154,Carregador Samsung 25W,Acessórios,102.15,74.78
155,Teclado Redragon Kumara,Periféricos,231.97,176.85
156,Suporte para Notebook,Acessórios,134.06,96.23
157,Edifier W820NB,Áudio,388.69,300.14
158,Mouse Logitech M170,Periféricos,81.53,58.97
159,JBL Tune 520BT,Áudio,265.86,185.8
160,JBL Flip 6,Áudio,657.1,463.89
161,Controle Xbox Wireless,Games,507.55,390.96
162,Headset HyperX Cloud Stinger,Periféricos,293.04,247.04
163,Sony WH-1000XM5,Áudio,2207.95,1788.69
164,Mouse Logitech M170,Periféricos,78.74,53.96
165,Teclado Logitech K120,Periféricos,93.9,71.69
166,Mouse Logitech M170,Periféricos,79.75,66.02
167,Controle DualSense PS5,Games,488.84,381.23
168,Apple iPhone 15,Smartphones,4679.44,3378.47
169,Headset HyperX Cloud Stinger,Periféricos,276.68,232.28
170,Teclado Logitech K120,Periféricos,83.77,59.85
171,Monitor AOC 24G2,Monitores,1178.25,963.99
172,Cadeira Ergonômica Elements,Cadeiras,1989.08,1834.79
173,Monitor Samsung T350 24,Monitores,962.61,627.65
174,Monitor LG UltraGear 27,Monitores,1693.82,1081.24
175,Cabo USB-C Baseus,Acessórios,48.07,38.1
176,Cadeira Gamer ThunderX3,Cadeiras,1267.38,915.34
177,Teclado Redragon Kumara,Periféricos,250.94,176.75
178,Headset HyperX Cloud Stinger,Periféricos,324.49,213.03
179,Carregador Apple 20W,Acessórios,174.77,137.33
180,Teclado Redragon Kumara,Periféricos,224.92,160.64
181,Cadeira Gamer Husky,Cadeiras,1443.2,1123.35
182,Monitor LG 24MK430H,Monitores,779.61,666.0
183,Monitor LG UltraGear 27,Monitores,1592.21,1146.75
184,Controle DualSense PS5,Games,474.02,293.96
185,Headset HyperX Cloud Stinger,Periféricos,269.95,228.43
186,Samsung Galaxy A35,Smartphones,1579.82,1114.23
187,Sony WH-CH520,Áudio,317.95,197.42
188,Cadeira Office Flexform,Cadeiras,1608.75,1131.97
189,Edifier W820NB,Áudio,396.03,313.45
190,Edifier W820NB,Áudio,386.92,304.85
191,Samsung Galaxy A15,Smartphones,918.95,714.5
192,Carregador Apple 20W,Acessórios,198.56,155.85
193,Monitor AOC 24G2,Monitores,1239.31,974.83
194,Carregador Apple 20W,Acessórios,177.62,145.84
195,Controle Xbox Wireless,Games,522.96,409.37
196,Headset HyperX Cloud Stinger,Periféricos,292.07,219.8
197,JBL Flip 6,Áudio,712.59,521.63
198,Monitor Samsung T350 24,Monitores,894.06,700.18
199,Samsung Galaxy A35,Smartphones,1579.04,1290.54
200,Mousepad Havit,Periféricos,55.34,41.63
